"id","age","strain","region","sample","Fe","Cu","Zn"
"161468","22","WT","Cerebellum","22C",92.91,37.571,54.76
"161469","22","WT","Cerebellum","23C",93.4,32.559,54.26
"161470","22","WT","Cerebellum","24C",108.24,29.492,66.14
"170","22","WT","Cerebellum","26C",81.88,46.796,55.66
"171","22","WT","Cerebellum","27C",82.47,40.874,54.91
"172","22","WT","Cerebellum","28C",88.05,28.895,53.47
"3119","5","WT","Cerebellum","29C",77.37,23.032,68.36
"3120","5","WT","Cerebellum","30C",83.86,24.306,76
"3121","5","WT","Cerebellum","31C",88.11,31.003,68.56
"3139","5","WT","Cerebellum","32C",75.52,30.539,157.72
"3181","5","WT","Cerebellum","33C",72.18,23.249,73.35
"3183","5","WT","Cerebellum","34C",71.01,34.28,64.04
"3184","5","WT","Cerebellum","35C",77.14,22.85,126.4
"3185","5","WT","Cerebellum","36C",73.56,25.326,61.81
"226","5","NFL-KO","Olfactory bulb","01D",46.43,14.556,42.79
"227","5","NFL-KO","Olfactory bulb","02D",52.8,17.67,43.87
"228","5","NFL-KO","Olfactory bulb","03D",48.37,14.075,40.03
"229","5","NFL-KO","Olfactory bulb","04D",50.32,15.392,43.3
"230","5","NFL-KO","Olfactory bulb","05D",53.05,14.495,40.72
"232","5","NFL-KO","Olfactory bulb","06D",52.16,15.113,39.7
"233","5","NFL-KO","Olfactory bulb","07D",54.28,15.896,43.71
"234","5","NFL-KO","Olfactory bulb","08D",53.52,320.406,165.32
"238","5","NFL-KO","Olfactory bulb","09D",57.03,15.144,40.22
"237","5","NFL-KO","Olfactory bulb","10D",50.33,17.028,48.23
"236","5","NFL-KO","Olfactory bulb","11D",55.08,14.505,44.01
"235","5","NFL-KO","Olfactory bulb","12D",63.42,19.457,73.52
"162379","22","NFL-KO","Olfactory bulb","13D",39.47,18.448,33.93
"162380","22","NFL-KO","Olfactory bulb","14D",44.58,13.948,30.76
"162381","22","NFL-KO","Olfactory bulb","15D",45.06,18.046,35.23
"162382","22","NFL-KO","Olfactory bulb","16D",45.55,14.092,35.43
"13","22","NFL-KO","Olfactory bulb","17D",59.93,21.201,41.79
"14","22","NFL-KO","Olfactory bulb","18D",52.35,21.826,39.78
"161464","22","WT","Olfactory bulb","20D",39.66,11.341,33.21
"161466","22","WT","Olfactory bulb","21D",48.59,11.304,33.39
"161468","22","WT","Olfactory bulb","22D",43.78,14.674,33.24
"161469","22","WT","Olfactory bulb","23D",44.95,9.81,35.46
"161470","22","WT","Olfactory bulb","24D",41.42,9.537,33.54
"170","22","WT","Olfactory bulb","26D",39.37,14.285,29.68
"171","22","WT","Olfactory bulb","27D",43.72,16.178,31.68
"172","22","WT","Olfactory bulb","28D",41.66,11.333,31.17
"3119","5","WT","Olfactory bulb","29D",39.49,12.818,34.32
"3120","5","WT","Olfactory bulb","30D",44.74,12.33,44.75
"3121","5","WT","Olfactory bulb","31D",45.54,12.085,35.12
"3139","5","WT","Olfactory bulb","32D",57.73,23.651,57.21
"3181","5","WT","Olfactory bulb","33D",48.72,14.749,71.99
"3183","5","WT","Olfactory bulb","34D",40.58,13.574,45.74
"3184","5","WT","Olfactory bulb","35D",43.72,19.318,41.83
"3185","5","WT","Olfactory bulb","36D",42.32,11.915,35.97
"226","5","NFL-KO","Brain stem","01E",105.74,26.745,67.23
"227","5","NFL-KO","Brain stem","02E",104.28,24.301,69.26
"228","5","NFL-KO","Brain stem","03E",105.9,25.67,71.61
"229","5","NFL-KO","Brain stem","04E",101.93,25.72,67.55
"230","5","NFL-KO","Brain stem","05E",94.23,24.027,65.27
"232","5","NFL-KO","Brain stem","06E",176.8,26.842,138.22
"233","5","NFL-KO","Brain stem","07E",177.06,29.71,81.77
"234","5","NFL-KO","Brain stem","08E",173.6,21.402,130.31
"238","5","NFL-KO","Brain stem","09E",133.26,24.233,69.19
"237","5","NFL-KO","Brain stem","10E",187.74,29.291,100.84
"236","5","NFL-KO","Brain stem","11E",202.25,25.831,73.27
"235","5","NFL-KO","Brain stem","12E",117.62,28.089,78.13
"162379","22","NFL-KO","Brain stem","13E",320.12,27.247,79.88
"162380","22","NFL-KO","Brain stem","14E",194.69,26.18,72.52
"162381","22","NFL-KO","Brain stem","15E",243.66,26.103,73.45
"162382","22","NFL-KO","Brain stem","16E",282.19,64.915,92.43
"13","22","NFL-KO","Brain stem","17E",168.1,31.106,59.35
"14","22","NFL-KO","Brain stem","18E",172.2,21.104,71.44
"161464","22","WT","Brain stem","20E",178.42,24.085,81.87
"161466","22","WT","Brain stem","21E",221.17,25.101,67.89
"161468","22","WT","Brain stem","22E",217.73,20.13,65.3
"161469","22","WT","Brain stem","23E",198.7,16.001,82.44
"161470","22","WT","Brain stem","24E",179.75,22.727,61.81
"170","22","WT","Brain stem","26E",165.8,29.966,61.29
"171","22","WT","Brain stem","27E",174.66,24.697,70.47
"172","22","WT","Brain stem","28E",198.93,11.936,95.66
"3119","5","WT","Brain stem","29E",142.92,24.527,84.42
"3120","5","WT","Brain stem","30E",133.27,21.157,86.01
"3121","5","WT","Brain stem","31E",129.87,20.626,70.47
"3139","5","WT","Brain stem","32E",134.85,26.879,130.27
"3181","5","WT","Brain stem","33E",128.31,20.701,118.7
"3183","5","WT","Brain stem","34E",142.4,32.371,114.21
"3184","5","WT","Brain stem","35E",148.92,26.967,163.62
"3185","5","WT","Brain stem","36E",168.26,23.637,65.34
"226","5","NFL-KO","Sciatic nerve","01F",33.21,1.445,23.32
"227","5","NFL-KO","Sciatic nerve","02F",34.26,1.935,30.23
"228","5","NFL-KO","Sciatic nerve","03F",40.44,2.238,33.09
"229","5","NFL-KO","Sciatic nerve","04F",42.56,3.338,58.01
"230","5","NFL-KO","Sciatic nerve","05F",37.95,1.675,27.8
"232","5","NFL-KO","Sciatic nerve","06F",46.61,1.716,27.11
"233","5","NFL-KO","Sciatic nerve","07F",63.6,8.443,35.99
"234","5","NFL-KO","Sciatic nerve","08F",35.49,1.51,25.28
"238","5","NFL-KO","Sciatic nerve","09F",137.51,7.065,48.5
"237","5","NFL-KO","Sciatic nerve","10F",54.54,2.899,38.96
"236","5","NFL-KO","Sciatic nerve","11F",59.13,1.798,29.43
"235","5","NFL-KO","Sciatic nerve","12F",65.29,2.47,38.6
"162379","22","NFL-KO","Sciatic nerve","13F",77.94,1.774,151.13
"162380","22","NFL-KO","Sciatic nerve","14F",55.11,1.885,38.57
"162381","22","NFL-KO","Sciatic nerve","15F",64.73,1.261,30.95
"162382","22","NFL-KO","Sciatic nerve","16F",69.04,1.678,111.56
"13","22","NFL-KO","Sciatic nerve","17F",177.7,7.703,81.9
"14","22","NFL-KO","Sciatic nerve","18F",82.04,2.378,55.05
"161464","22","WT","Sciatic nerve","20F",68.25,2.172,38.99
"161466","22","WT","Sciatic nerve","21F",45.33,2.344,43.32
"161468","22","WT","Sciatic nerve","22F",73.5,3.21,40.6
"161469","22","WT","Sciatic nerve","23F",27.29,1.069,14.68
"170","22","WT","Sciatic nerve","26F",46.94,0.743,40.46
"171","22","WT","Sciatic nerve","27F",23.66,1.144,12.6
"172","22","WT","Sciatic nerve","28F",20.08,1.011,20.11
"3119","5","WT","Sciatic nerve","29F",74.54,2.08,20.59
"3120","5","WT","Sciatic nerve","30F",43.58,1.766,18.37
"3121","5","WT","Sciatic nerve","31F",24.59,0.845,14.39
"3139","5","WT","Sciatic nerve","32F",26.93,1.66,17.64
"3181","5","WT","Sciatic nerve","33F",29.01,2.026,23.14
"3184","5","WT","Sciatic nerve","35F",42.33,2.379,35.29
"3185","5","WT","Sciatic nerve","36F",50.23,5.866,38.42
